id,title,rating,votes,genre_ids,language,release_date,runtime,budget,revenue,popularity,overview,number_of_seasons,number_of_episodes,production_countries,networks,creators,main_actors,source_category,type
34634,Gold Rush,7.0,160,[10764],en,2010-12-03,41.0,,,92.4873,"Follow the lives of ambitious miners as they head north in pursuit of gold. With new miners, new claims, new machines and new ways to pull gold out of the ground, the stakes are higher than ever. But will big risks lead to an even bigger pay out?",15,314.0,"['United Kingdom', 'United States of America']",['Discovery'],[],"['Parker Schnabel', 'Chris Doumitt', 'Paul Christie']",popularity.desc_2010,tv
33841,R. L. Stine's The Haunting Hour,8.133,206,"[10751, 18]",en,2010-10-29,25.0,,,91.26,"R. L. Stine's The Haunting Hour is a Canadian/American original anthology horror-fantasy series, with episodes each half an hour long. The series is based on The Haunting Hour: Don't Think About It Movie, and the books The Haunting Hour and Nightmare Hour anthology by R. L. Stine.",4,76.0,"['Canada', 'United States of America']","['Hub Network', 'Discovery Family']",['R.L. Stine'],[],popularity.desc_2010,tv
39056,Para Volver a Amar,7.6,116,[18],es,2010-07-12,,,,90.2153,"Para Volver a Amar is a Televisa telenovela that aired on the Canal de las Estrellas channel in Mexico from July 12, 2010 to January 30, 2011. It stars Rebecca Jones, Rene Strickler, Alejandro Camacho, Alejandra Barros, and Africa Zavala. The Mexican version however is taken from the original Colomb",1,146.0,['Mexico'],['Las Estrellas'],"['Adriana Suárez', 'Pedro Miguel Rozo']","['Rebecca Jones', 'Alejandro Camacho', 'René Strickler', 'Alejandra Barros', 'Jesús Ochoa']",popularity.desc_2010,tv
32390,The Real Housewives of Beverly Hills,6.3,98,[10764],en,2010-10-14,,,,89.8313,A reality series that follows some of the most affluent women in the country as they enjoy the lavish lifestyle that only Beverly Hills can provide.,15,308.0,['United States of America'],['Bravo'],[],"['Kyle Richards', 'Erika Jayne', 'Dorit Kemsley', 'Garcelle Beauvais', 'Sutton Stracke']",popularity.desc_2010,tv
42981,HeartCatch PreCure!,9.2,9,"[16, 10759, 35, 10765, 10751, 10762]",ja,2010-02-07,24.0,,,33.2615,"Tsubomi Hanasaki is a girl in the second grade of middle school who likes flowers and plants. One day she experiences a weird dream. In that dream, a large blooming tree appears. Suddenly, it loses all of its flowers and 2 fairies appear. A few days later after Tsubomi has transferred to Myoudou Aca",1,49.0,['Japan'],"['HTB', 'tv asahi', 'Nagoya TV']",[],"['Nana Mizuki', 'Fumie Mizusawa', 'Houko Kuwashima', 'Aya Hisakawa', 'Taeko Kawata']",vote_average.desc_2010,tv
80854,Tea House,9.2,5,[18],zh,2010-07-16,42.0,,,4.9809,,1,39.0,['China'],[],[],"['Chen Baoguo', 'Xie Gang', 'Zhou Lijing', 'Shi Xiaoman', 'Liang Tian']",vote_average.desc_2010,tv
78013,Moral Peanuts,9.1,21,"[9648, 80]",zh,2010-06-07,40.0,,,5.6435,"Scammers on the street are organized and disciplined. They are scattered across the fringes of the city. Five years ago, Zhao Ning's father committed suicide after he was defrauded of all his property. In order to avenge her father, Zhao Ning gathers elites from all walks of life to strike back.

Th",3,44.0,['China'],[],['Hongchou Li'],"['Xing Dongdong', 'Li Wei', 'An Ning', 'Yang Yu', 'Shao Zhuang']",vote_average.desc_2010,tv
31616,Ryōmaden,9.1,13,[18],ja,2010-01-03,45.0,,,30.6343,"Ryōmaden is the 49th NHK Taiga drama. It was shown on NHK from January 3 to November 28, 2010 spanning 48 episodes. The story centers on the life of 19th-century Japanese historical figures Iwasaki Yatarō and Sakamoto Ryōma. It has been announced that the series will be aired in several other countr",1,48.0,['Japan'],['NHK BS1'],['Keishi Otomo'],"['Masaharu Fukuyama', 'Tatsuomi Hamada', 'Kiyoshi Kodama', 'Shinobu Terajima', 'Tao Tsuchiya']",vote_average.desc_2010,tv
38122,Mysteries at the Museum,9.1,18,[99],en,2010-11-02,60.0,,,27.8103,"Don Wildman unearths relics from the world's greatest institutions to reveal secrets from the past. He examines each artifact to illuminate history's most incredible triumphs, sensational crimes and bizarre encounters.",23,310.0,['United States of America'],['Travel Channel'],[],['Don Wildman'],vote_average.desc_2010,tv
37738,Okresní přebor,8.9,6,[35],cs,2010-09-06,25.0,,,11.5336,Okresní přebor is a Czech television sport comedy series created by Jan Prušinovský that airs on TV Nova. The series premiered on 6 September 2010.,1,16.0,['Czech Republic'],['TV Nova'],"['Petr Kolečko', 'Jan Prušinovský']","['Ondřej Vetchý', 'David Novotný', 'Leoš Noha', 'Pavel Kikinčuk', 'Jaroslava Pokorná']",vote_average.desc_2010,tv
33667,No Regrets,8.9,8,[18],cn,2010-10-18,45.0,,,9.3514,"Set in the late 1930s to late 1940s in Canton, Republic of China during World War II, No Regrets is an epic drama that centers on a triad family, the Canton police force, and the Japanese occupation of the city.",1,32.0,['Hong Kong'],['TVB Jade'],['Lee Tim-Sing'],"['Wayne Lai Yiu-Cheung', 'Sheren Tang Shui-Man', 'Raymond Ho-Yin Wong', 'Ngo Ka-Nin', 'Nancy Wu Ting-Yan']",vote_average.desc_2010,tv
45413,Immersion,8.8,5,"[35, 10764]",en,2010-11-29,,,,10.3012,"Immersion is an ongoing American Rooster Teeth Live action production Sci-Fi Comedy TV Web series by Rooster Teeth Productions about how well video gaming material works in real life. During each episode, several Rooster Teeth staff members try to recreate the elements of popular video games to see ",6,29.0,['United States of America'],"['Rooster Teeth', 'YouTube']",['Burnie Burns'],['Jack Pattillo'],vote_average.desc_2010,tv
37834,Freshers,8.8,5,"[18, 35]",nl,2010-11-01,25.0,,,6.2455,,3,28.0,[],['BNN'],['Hesdy Lonwijk'],"['Manuel Broekman', 'Tim Murck', 'Hanna Verboom', 'Jurjen van Loon', 'Ruben Brinkman']",vote_average.desc_2010,tv
34647,The Nativity,8.8,5,"[18, 10751]",en,2010-12-20,30.0,,,15.7776,"Drama revealing the human story beneath the classic biblical tale, from the courtship of Mary and Joseph in Nazareth to the birth of Jesus in a Bethlehem stable.",1,4.0,"['Canada', 'United Kingdom']",['BBC One'],['Tony Jordan'],"['Andrew Buchan', 'Tatiana Maslany', 'Peter Capaldi', 'Vincent Regan', 'Al Weaver']",vote_average.desc_2010,tv
