title,rating,votes,genre_ids,language,release_date,runtime,budget,revenue,number_of_seasons,number_of_episodes
The Dick Cavett Show,6.7,21,[10767],en,1968-06-06,90.0,,,11,470
BANGTAN BOMB,9.5,2,[10764],ko,2013-06-19,3.0,,,13,840
Good Day Live,3.0,4,[10763],en,2001-09-17,60.0,,,4,961
Sesame Street,7.09,260,"[10762, 35]",en,1969-11-10,54.0,,,56,3126
Jeopardy!,6.933,142,"[10764, 10751]",en,1984-09-10,30.0,,,41,9138
The Grim Adventures of Billy and Mandy,8.049,979,"[16, 35, 10762]",en,2001-08-24,11.0,,,7,184
Late Night with Jimmy Fallon,5.989,95,[10767],en,2009-03-02,60.0,,,6,180
Monogatari,8.1,483,"[16, 35, 18, 9648]",ja,2009-07-03,25.0,,,5,72
House,8.6,6973,"[18, 9648, 35]",en,2004-11-16,44.0,,,8,176
The Flash,7.771,11321,"[18, 10765]",en,2014-10-07,,,,9,184
Anderson Cooper 360°,5.1,8,"[10763, 10767]",en,2003-09-08,,,,23,1534
Seinfeld,8.3,2126,[35],en,1989-07-05,,,,9,180
Die Rosenheim-Cops,6.5,24,"[80, 35]",de,2002-01-09,45.0,,,24,578
CSI: Crime Scene Investigation,7.64,1297,"[80, 18, 9648]",en,2000-10-06,,,,15,335
60 Minutes,6.651,73,[10763],en,1968-09-24,44.0,,,57,953
Being The Elite,5.0,3,"[99, 35, 10764]",en,2016-05-05,17.0,,,5,374
The Powerpuff Girls,7.547,933,"[10759, 16, 35, 10762, 10751]",en,1998-11-18,12.0,,,6,136
Two and a Half Men,7.451,3417,[35],en,2003-09-22,,,,12,262
Newsnight,6.2,10,[10763],en,1980-01-30,50.0,,,18,3398
Meet the Press,4.0,18,"[10763, 10767]",en,1947-11-06,53.0,,,79,3241
Coronation Street,5.4,112,[10766],en,1960-12-09,24.0,,,66,4058
En mode Salvail,2.0,2,"[35, 10767]",fr,2013-10-28,48.0,,,5,398
7de Laan,5.0,1,[10766],af,2000-04-04,30.0,,,24,6032
Justice with Judge Mablean,3.0,2,"[10764, 18]",en,2014-09-15,,,,6,519
Saan Ka Man Naroroon,10.0,1,"[18, 10751]",tl,1999-04-12,30.0,,,1,508
"Goede Tijden, Slechte Tijden",5.083,18,[10766],nl,1990-10-01,30.0,,,44,7020
The Walking Dead,8.096,17024,"[10759, 18, 10765]",en,2010-10-31,,,,11,177
Comedy Nights with Kapil,7.026,19,[35],hi,2013-06-22,,,,1,191
Champs-Elysées,6.286,7,[10767],fr,1982-01-16,120.0,,,13,293
Men on a Mission,7.514,35,"[10764, 35]",ko,2015-12-05,90.0,,,1,485
Ninja Hattori-kun,6.8,30,"[16, 10759, 35, 10751, 10762]",ja,1981-09-28,6.0,,,1,697
The Simpsons,8.017,10229,"[10751, 16, 35]",en,1989-12-17,22.0,,,36,786
Family Guy,7.4,4579,"[16, 35]",en,1999-01-31,22.0,,,23,442
WWE NXT UK,6.6,17,"[18, 10759]",en,2018-10-17,60.0,,,5,214
New Looney Tunes,7.0,145,"[16, 35, 10751]",en,2015-09-21,6.0,,,3,312
Conan,7.068,235,"[10767, 35, 10763]",en,2010-11-08,60.0,,,11,1510
Volle Kanne,4.4,5,[10763],de,1999-08-30,90.0,,,25,4546
Rick and Morty,8.689,10231,"[16, 35, 10765, 10759]",en,2013-12-02,22.0,,,8,81
ECW Hardcore TV,7.1,13,[10759],en,1993-04-06,60.0,,,8,401
PAW Patrol,7.0,776,"[16, 10762]",en,2013-08-12,,,,11,510
America's Got Talent,5.706,260,[10764],en,2006-06-21,85.0,,,20,473
Lassie,6.1,65,"[10759, 18, 10751, 35]",en,1954-09-12,24.0,,,19,591
The Andy Griffith Show,7.622,152,"[35, 10751]",en,1960-10-03,25.0,,,8,249
Below Deck Mediterranean,7.7,47,[10764],en,2016-05-03,60.0,,,9,156
Sale of the Century,3.7,3,[],en,1980-07-14,60.0,,,21,4801
Alpha Forum,0.0,0,[10767],de,1998-01-07,,,,21,2357
Abendschau,6.0,2,[10767],de,2000-05-04,45.0,,,25,2926
Beat Bobby Flay,6.5,23,[10764],en,2013-08-24,30.0,,,39,504
Star Trek: Lower Decks,7.61,374,"[10765, 16, 35]",en,2020-08-06,27.0,,,5,50
Nytt på nytt,6.5,10,[35],no,1999-04-09,30.0,,,52,758
Panorama,6.2,13,"[99, 10763]",en,1953-11-11,30.0,,,73,1352
Star Trek: Picard,7.298,1768,"[10765, 10759, 18]",en,2020-01-23,,,,3,30
The Blacklist,7.64,3297,"[18, 80, 9648]",en,2013-09-23,,,,10,218
Big Brother's Little Brother,5.8,4,[10764],en,2001-05-29,30.0,,,17,860
Klan,4.7,7,[10766],pl,1997-09-22,25.0,,,27,3564
Sturm der Liebe,6.066,38,"[18, 10766]",de,2005-09-26,50.0,,,21,4433
Nature,8.1,37,"[99, 10751]",en,1982-10-10,53.0,,,43,679
The Vampire Diaries,8.313,9220,"[18, 10765]",en,2009-09-10,43.0,,,8,171
Wind Rose,0.0,0,[18],hr,2011-08-29,45.0,,,2,340
Naruto,8.362,5709,"[16, 10759, 10765]",ja,2002-10-03,24.0,,,4,220
Tyler Perry's House of Payne,7.6,58,[35],en,2007-06-06,30.0,,,8,318
Matinee Theater,5.0,6,[18],en,1955-10-31,60.0,,,3,574
Young Hearts,6.1,31,"[10766, 35, 18]",pt,1995-04-24,,,,27,6199
The Wendy Williams Show,6.0,9,[10767],en,2008-07-14,60.0,,,12,314
The Great Emperor Ashoka,4.5,2,[10766],hi,2015-02-02,30.0,,,1,442
American Dad!,6.976,2209,"[16, 35]",en,2005-02-06,22.0,,,22,388
The Real,6.4,10,[10767],en,2014-09-15,42.0,,,8,557
Raven's Home,7.702,141,"[10751, 35, 18]",en,2017-07-21,25.0,,,6,122
The Tonight Show with Jay Leno,5.407,91,"[10767, 35]",en,1992-05-25,63.0,,,21,2643
The Merv Griffin Show,5.75,8,[10767],en,1962-10-01,60.0,,,24,915
After School Club,4.0,2,[],en,2013-04-17,55.0,,,1,587
Adventure Time,8.496,2883,"[16, 35, 10765]",en,2010-04-05,11.0,,,10,279
Steven Universe,8.411,1237,"[16, 35, 10759, 10751, 10765]",en,2013-11-04,11.0,,,5,154
Grange Hill,6.68,25,[18],en,1978-02-08,25.0,,,31,602
My Three Sons,6.5,33,"[35, 10751]",en,1960-09-29,30.0,,,12,380
Rodinná pouta,2.7,3,[],cs,2004-03-23,,,,3,264
The Red Skelton Show,7.375,16,"[35, 10767, 10751]",en,1951-09-30,60.0,,,20,672
Have I Got a Bit More News for You,7.0,16,"[10763, 35]",en,,45.0,,,37,346
She-Ra: Princess of Power,7.52,203,"[10759, 16, 10765, 10762]",en,1985-09-09,24.0,,,2,93
9-1-1: Lone Star,8.042,1153,"[18, 10759, 80]",en,2020-01-19,,,,5,72
Chicago P.D.,8.411,2473,"[80, 18]",en,2014-01-08,42.0,,,12,243
Case Closed,8.0,697,"[16, 80, 9648, 35]",ja,1996-01-08,25.0,,,1,1167
One Tree Hill,7.774,521,[18],en,2003-09-23,42.0,,,9,187
Dark Shadows,7.227,86,"[18, 10765, 10766]",en,1966-06-27,22.0,,,12,1225
Radio Star,6.0,2,[10767],ko,2007-05-30,80.0,,,2,915
On the Case with Paula Zahn,8.3,17,"[80, 99]",en,2009-10-18,43.0,,,27,383
"Mentiras, The Series",8.569,51,"[35, 10766]",es,2025-06-13,,,,1,8
Phineas and Ferb,7.9,917,"[16, 35, 10751, 10765]",en,2007-08-17,12.0,,,5,246
Keep Running,5.778,9,"[35, 10764]",zh,2014-10-10,90.0,,,13,160
Impractical Jokers,7.9,375,[35],en,2011-12-15,30.0,,,11,268
