title,rating,votes,genre_ids,language,release_date,runtime,budget,revenue,number_of_seasons,number_of_episodes
Kenichi: The Mightiest Disciple,8.5,441,"[10759, 16, 35]",ja,2006-10-07,25.0,,,1,50
LIVE with Kelly and Mark,5.641,46,[10767],en,1988-09-05,44.0,,,37,6549
MasterChef: The Professionals,7.75,6,[10764],en,2008-08-25,30.0,,,17,365
The Patrick Star Show,5.7,44,"[10751, 35, 16, 10767]",en,2021-07-09,11.0,,,4,113
The United States Steel Hour,6.2,5,[],en,1953-10-27,60.0,,,10,259
Guy's Grocery Games,5.7,44,[10764],en,2013-10-20,60.0,,,40,536
South Park,8.371,4547,"[16, 35]",en,1997-08-13,22.0,,,27,323
Escape to the Country,5.3,24,[10764],en,2002-10-14,45.0,,,25,1226
Catfish: The TV Show,6.835,127,"[10764, 18]",en,2012-11-12,42.0,,,9,245
Jim Henson's Animal Show with Stinky and Jake,9.5,2,[10762],en,1994-10-03,30.0,,,3,65
Le Monde En Face,9.7,3,"[99, 10767]",fr,1987-09-17,120.0,,,19,494
The Really Useful Show,5.0,1,[],en,1996-10-14,60.0,,,2,329
Top Chef,6.6,60,[10764],en,2006-03-08,42.0,,,22,328
How I Met Your Mother,8.143,5249,[35],en,2005-09-19,22.0,,,9,208
Big Brother,3.7,16,[10764],en,2001-04-24,90.0,,,16,1265
Peppa Pig,6.6,702,"[16, 10762]",en,2004-05-31,,,,8,416
Full Frontal with Samantha Bee,5.869,88,"[10763, 10767, 35]",en,2016-02-08,21.0,,,7,218
I'm a Celebrity: Get Me Out of Here!,4.5,12,[10764],en,2015-02-01,90.0,,,11,274
Una familia con suerte,7.6,151,"[35, 18, 10751]",es,2011-02-14,44.0,,,1,266
Mayday,8.2,264,"[99, 18, 80]",en,2003-09-03,46.0,,,25,230
Trail of Lies,6.1,23,"[10766, 18, 10751]",pt,2013-05-20,60.0,,,1,221
Marvel's Daredevil,8.165,4775,"[80, 18, 10759]",en,2015-04-10,,,,3,39
CBeebies Bedtime Stories,7.7,7,"[10762, 10751]",en,2009-03-09,,,,1,751
Orange Is the New Black,7.657,2620,"[35, 18]",en,2013-07-11,,,,7,91
Curious George,7.134,116,"[16, 10751, 10762]",en,2006-09-04,12.0,,,15,389
WWE The Bump,5.4,5,[10767],en,2019-10-02,60.0,,,6,292
Trollhunters: Tales of Arcadia,8.439,1096,"[10751, 16, 10759, 35, 10765]",en,2016-12-23,24.0,,,3,52
Le Grand Échiquier,8.0,2,[10764],fr,1972-01-12,,,,20,209
Midsomer Murders,7.5,322,"[80, 18, 9648]",en,1997-03-23,90.0,,,24,140
Friends,8.4,8413,[35],en,1994-09-22,,,,10,228
"Wetten, dass..?",5.3,19,"[18, 10764, 35, 10767]",de,1981-02-14,165.0,,,33,210
Six Sisters,5.722,9,[18],es,2015-04-23,55.0,,,1,493
All My Children,6.386,22,[10766],en,1970-01-05,60.0,,,16,2389
Duel Masters,5.8,16,"[10759, 16, 10765, 10762]",ja,2002-10-21,24.0,,,21,914
The Return of Superman,7.8,13,[10764],ko,2013-11-03,100.0,,,12,984
Stranger Things,8.597,18416,"[18, 10765, 9648]",en,2016-07-15,,,,5,42
The Twilight Zone,8.45,943,"[10765, 9648, 18]",en,1959-10-02,25.0,,,5,156
Natural World,7.1,25,[99],en,1983-10-30,60.0,,,39,543
The Red Green Show,7.304,23,[35],en,1991-01-01,21.0,,,15,304
The Great British Bake Off,8.385,39,[10764],en,2017-08-29,60.0,,,8,80
Haru yo koi,0.0,0,[18],ja,1994-10-03,15.0,,,1,307
Close Up with The Hollywood Reporter,5.7,17,[10767],en,2015-08-02,60.0,,,7,93
Armstrong Circle Theatre,3.0,3,[18],en,1950-06-06,60.0,,,15,367
Dallas,6.862,221,"[10766, 18, 10751]",en,1978-04-02,45.0,,,14,357
Fatal Attraction,6.9,8,"[80, 99]",en,2013-06-03,43.0,,,16,421
A Case For Two,5.2,14,"[18, 80]",de,1981-09-11,60.0,,,33,300
Running Man,8.251,191,"[35, 10764]",ko,2010-07-11,85.0,,,1,755
Talking Tom and Friends,7.1,15,"[16, 35, 10762]",en,2014-12-23,11.0,,,5,156
La resistencia,6.0,20,"[10767, 35]",es,2018-02-01,60.0,,,8,1022
"Elefant, Tiger & Co.",7.25,4,"[99, 10764]",de,2003-04-01,25.0,,,23,1108
Die Harald Schmidt Show,7.0,16,[10764],de,1995-12-05,43.0,,,14,1369
The Lone Ranger,6.7,30,"[37, 10759]",en,1949-09-15,30.0,,,5,221
CSI: NY,7.353,707,"[80, 18, 9648]",en,2004-09-22,42.0,,,9,197
Kangsi Coming,7.7,3,"[10767, 10764]",zh,2004-01-05,60.0,,,14,3271
Pleasant Goat and Big Big Wolf,7.4,17,"[16, 10762, 10759, 35, 10765]",zh,2005-08-03,15.0,,,1,530
Ghost Adventures,7.7,198,[10764],en,2008-10-17,45.0,,,26,311
Batman: The Animated Series,8.546,1678,"[10759, 16, 18, 9648]",en,1992-09-05,,,,4,85
RuPaul's Drag Race All Stars,7.3,116,[10764],en,2012-10-22,43.0,,,10,101
48 Hours,7.265,51,"[10763, 80, 99]",en,1988-01-19,42.0,,,38,1141
Marvel's Agents of S.H.I.E.L.D.,7.477,3605,"[18, 10765, 10759]",en,2013-09-24,43.0,,,7,136
The Cat in the Hat Knows a Lot About That!,8.1,8,"[16, 10751, 10762]",en,2010-09-06,30.0,,,3,147
On Air with Ryan Seacrest,9.5,43,"[10767, 10763]",en,2004-01-01,60.0,,,1,87
Dreams of Liberty,6.2,13,"[18, 10766]",es,2024-02-25,50.0,,,2,340
Mad About You,6.659,229,[35],en,1992-09-23,23.0,,,7,164
Paradise Hotel,5.8,8,[10764],no,2009-03-09,42.0,,,17,706
Derrick,6.0,42,"[18, 80]",de,1974-10-20,60.0,,,25,281
T.U.F.F. Puppy,7.2,60,"[16, 35, 10759, 10765]",en,2010-10-02,11.0,,,3,115
Disney's Adventures of the Gummi Bears,7.398,240,"[16, 10751, 10762]",en,1985-09-14,11.0,,,6,95
The Wonder Years,8.317,1030,"[35, 18, 10751]",en,1988-01-31,24.0,,,6,115
S.W.A.T.,8.069,1486,"[80, 10759, 18]",en,2017-11-02,,,,8,163
The Mr. Magoo Show,6.7,9,[16],en,1960-11-07,30.0,,,1,130
Pauw & Witteman,7.0,1,[],nl,2006-09-04,50.0,,,8,642
Parks and Recreation,8.022,1596,[35],en,2009-04-09,22.0,,,7,122
WWF Wrestling Challenge,6.8,4,[18],en,1986-09-07,60.0,,,11,469
Thadeusz,6.0,1,[10767],de,2005-12-05,60.0,,,9,216
Hill Street Blues,7.6,110,"[18, 80]",en,1981-01-15,49.0,,,7,146
Big City Greens,7.238,61,"[10751, 16, 35]",en,2018-06-18,11.0,,,5,191
Gold Rush,7.0,160,[10764],en,2010-12-03,41.0,,,15,314
Jersey Shore: Family Vacation,7.173,52,[10764],en,2018-04-05,42.0,,,8,204
20/20,6.1,33,"[10763, 99]",en,1978-06-06,40.0,,,26,705
Celebridade,8.2,15,"[10766, 18, 35]",pt,2003-10-13,,,,1,221
Vikings,8.097,7208,"[10759, 18, 10768]",en,2013-03-03,44.0,,,6,89
Lauren Lake's Paternity Court,5.9,6,"[10764, 10767]",en,2013-09-23,22.0,,,7,845
Sheriff Callie's Wild West,5.333,12,"[16, 37]",en,2013-12-13,25.0,,,2,90
Damages,7.5,217,"[9648, 18, 80]",en,2007-07-24,50.0,,,5,59
Dateline: Secrets Uncovered,8.1,12,"[80, 99]",en,2017-07-21,43.0,,,15,345
Puzzle & Dragons,8.0,3,"[10759, 16, 35, 10762, 10765, 18]",ja,2018-04-02,25.0,,,1,348
Farmen,4.0,1,[10764],sv,2001-09-24,30.0,,,18,876
Home and Away,6.292,72,"[18, 10766]",en,1988-01-18,20.0,,,38,8479
The Last American Gay Bar,0.0,0,[99],en,2024-07-02,,,,1,6
X Factor,7.2,10,"[10764, 10751]",it,2008-03-10,180.0,,,18,238
Dragon Ball Z,8.3,4597,"[16, 10765, 10759]",ja,1989-04-26,26.0,,,9,291
Ishqbaaaz,9.0,3,"[18, 10751]",hi,2016-06-27,22.0,,,1,714
Landesschau Rheinland-Pfalz,0.0,0,[10763],de,2010-03-08,,,,11,560
Regular Show,8.629,2106,"[16, 35]",en,2010-09-06,11.0,,,8,245
RuPaul's Drag Race: Untucked,6.2,48,[10764],en,2010-02-01,21.0,,,16,196
Tavis Smiley,7.3,3,"[10767, 10763]",en,2004-01-05,30.0,,,3,605
The Busy World of Richard Scarry,8.02,25,"[16, 10762]",en,1994-03-09,23.0,,,5,195
Hancock's Half Hour,7.5,7,[35],en,1956-07-06,30.0,,,7,63
Ridiculousness,6.869,111,"[35, 10767, 10764]",en,2011-08-29,30.0,,,44,1632
Oteckovia,7.7,6,"[10751, 35]",sk,2018-01-01,40.0,,,5,774
Ben 10: Omniverse,8.27,479,"[10759, 16, 10765, 10762]",en,2012-08-01,22.0,,,8,80
RadhaKrishn,9.0,4,"[18, 10751, 35, 10759, 10766]",hi,2018-10-01,40.0,,,4,1145
Lenßen & Partner,6.5,1,"[10764, 80]",de,2003-03-10,,,,8,1302
Bleach,8.4,1942,"[10759, 16, 10765]",ja,2004-10-05,24.0,,,2,406
Isidingo,4.3,3,"[10766, 18]",en,1998-07-07,30.0,,,22,2629
Yu-Gi-Oh! GX,7.9,281,"[16, 10762, 35, 10759]",ja,2004-10-06,21.0,,,1,180
The View,4.5,99,[10767],en,1997-08-11,36.0,,,28,4801
Shaman King,8.546,417,"[16, 10759, 10765]",ja,2001-07-04,23.0,,,1,64
Al salir de clase,6.2,4,"[18, 35]",es,1997-09-08,35.0,,,5,282
MBC Bests Theater,7.0,1,[18],ko,1991-07-07,,,,1,664
The Smurfs,7.0,517,"[16, 10751, 10765, 10762, 35]",en,1981-09-12,11.0,,,9,422
The Newlywed Game,4.333,6,[],en,1966-07-11,30.0,,,2,301
The Everyday Tales of a Cat God,7.0,1,"[16, 35]",ja,2011-07-09,25.0,,,1,12
Unbreakable Kimmy Schmidt,7.133,562,[35],en,2015-03-06,30.0,,,4,51
Aquí somos todos,2.0,1,[],es,2020-04-13,90.0,,,3,473
Pedro El Escamoso,7.649,37,"[18, 35, 10766, 10751]",es,2001-08-24,48.0,,,1,327
Teenage Mutant Ninja Turtles,8.321,741,"[10759, 10762, 16, 10765, 35]",en,2012-09-28,22.0,,,5,124
Happy Days,7.642,278,[35],en,1974-01-15,22.0,,,11,252
The Emperor's New School,7.257,150,"[35, 10762, 16, 10765]",en,2006-01-27,23.0,,,2,90
Blue Bloods,7.801,927,"[80, 18]",en,2010-09-24,,,,14,293
"A Guy, a Girl",6.6,66,"[35, 18, 10751]",fr,1999-10-11,6.0,,,5,441
Good News Week,8.8,4,"[10763, 35, 10751]",en,1996-04-12,42.0,,,9,284
Degrassi,7.6,100,"[18, 10766]",en,2001-10-14,22.0,,,14,373
Atrévete a soñar,8.068,897,[18],es,2009-03-08,60.0,,,1,262
DAS!,4.2,5,"[10767, 10763]",de,1991-01-02,45.0,,,34,6637
Critical Role,8.2,17,"[10765, 10759, 35, 18]",en,2015-03-12,,,,3,377
The Heaven and Earth Show,3.2,4,[10767],en,1998-09-06,60.0,,,10,386
The Dick Van Dyke Show,7.4,95,[35],en,1961-10-03,30.0,,,5,158
Outlander,8.199,2676,"[18, 10765]",en,2014-08-09,,,,8,91
Trolls: TrollsTopia,8.5,51,"[10751, 16, 10762]",en,2020-11-19,12.0,,,7,104
Glee,6.765,863,"[35, 18]",en,2009-05-19,43.0,,,6,121
Maken-Ki! Battling Venus,6.3,37,"[16, 35, 10759]",ja,2011-10-05,25.0,,,2,22
Bittomo x Senshi Kirameki Powers!,8.0,2,"[10759, 10765]",ja,2021-07-11,,,,1,50
CSI: Miami,7.712,1634,"[18, 9648, 80]",en,2002-09-23,42.0,,,10,232
Vetenskapens värld,6.7,10,"[99, 10763]",sv,1971-09-26,60.0,,,47,942
iCarly,7.988,1474,"[35, 10762]",en,2007-09-08,25.0,,,6,107
Timon and Pumbaa,7.231,635,"[16, 35, 10762, 10751]",en,1995-09-08,22.0,,,8,169
Serve and Protect,5.9,7,[18],es,2017-04-25,50.0,,,7,766
Star Trek: Voyager,7.795,993,"[10765, 18, 10759]",en,1995-01-16,45.0,,,7,169
Parafernalha,10.0,1,[35],pt,2011-06-16,5.0,,,1,639
Germany's Next Topmodel,5.0,9,[10764],de,2006-01-25,,,,20,332
The 100,7.892,8289,"[10765, 18, 10759]",en,2014-03-19,42.0,,,7,100
Offspring,7.1,24,[18],en,2010-08-22,60.0,,,7,85
AIBOU: Tokyo Detective Duo,7.9,16,"[18, 80, 9648]",ja,2002-10-09,111.0,,,23,442
The Garfield Show,6.214,98,"[16, 35, 10762]",en,2009-11-02,30.0,,,5,203
Teenage Mutant Ninja Turtles,7.8,194,"[10759, 16, 10762]",en,2003-02-08,22.0,,,7,154
Verliebt in Berlin,3.8,6,[10766],de,2005-02-28,25.0,,,1,645
Puppy Dog Pals,5.658,19,"[16, 10762, 10751, 35, 18]",en,2017-04-14,12.0,,,5,232
Dr. Slump,8.0,127,"[16, 35, 10765]",ja,1981-04-08,25.0,,,1,243
JoJo's Bizarre Adventure,8.572,1458,"[16, 10759, 10765]",ja,2012-10-06,24.0,,,6,228
Miraculous: Tales of Ladybug & Cat Noir,8.0,4485,"[10759, 16, 10762]",fr,2015-10-19,,,,6,155
Wagon Train,6.3,26,"[37, 18, 10751]",en,1957-09-18,60.0,,,8,284
Yu Yu Hakusho,8.5,455,"[16, 10759, 10765]",ja,1992-10-10,24.0,,,4,112
Peaky Blinders,8.5,10407,"[18, 80]",en,2013-09-12,,,,6,36
Have I Got News for You,7.1,71,"[35, 10763]",en,1990-09-28,30.0,,,69,626
The Young Turks,6.1,13,"[10763, 10767, 10768]",en,,,,,21,586
Mentiras verdaderas,5.5,2,"[10767, 10763]",es,2011-10-11,,,,12,2155
Doctor Who,7.5,3148,"[10759, 18, 10765]",en,2005-03-26,,,,13,153
Black Mirror,8.283,5543,"[10765, 18, 9648]",en,2011-12-04,,,,7,32
Scene of the Crime,6.092,114,"[18, 80]",de,1970-11-29,,,,56,1303
In aller Freundschaft,6.0,6,[10766],de,1998-10-26,45.0,,,28,1146
It's Always Sunny in Philadelphia,8.277,1166,[35],en,2005-08-04,,,,17,172
World War Two,7.6,5,"[99, 10768]",en,2018-09-01,,,,8,347
Rosario Tijeras (Mexico),7.55,1633,"[18, 80]",es,2016-10-30,45.0,,,4,237
Flikken Maastricht,6.9,25,"[80, 10759]",nl,2007-09-03,50.0,,,19,215
Madeline,5.8,31,"[10762, 16, 10751]",en,1988-09-09,30.0,,,3,65
Perdona nuestros pecados,3.0,3,"[10766, 18]",es,2017-03-06,48.0,,,2,312
Curb Your Enthusiasm,8.0,812,[35],en,2000-10-15,,,,12,120
Anthony Bourdain: No Reservations,7.581,68,[99],en,2005-07-25,45.0,,,9,147
Tyler Perry's The Haves and the Have Nots,7.515,137,"[10766, 18]",en,2013-05-28,45.0,,,8,198
The Gadget Show,6.7,13,"[10763, 99]",en,2004-06-07,60.0,,,37,464
Sex Education,8.236,7505,"[35, 18]",en,2019-01-11,,,,4,32
Brothers,6.6,33,"[18, 10759]",tl,2015-09-28,,,,9,2013
Summer Camp Island,7.8,44,"[16, 35, 10751, 10765, 9648]",en,2018-07-07,11.0,,,6,120
Saiyuki,6.6,14,"[16, 10759, 18, 35]",ja,2000-04-04,25.0,,,5,126
Les Enfants de la télé,6.5,1,[10767],fr,2010-09-15,43.0,,,15,372
Elena of Avalor,0.0,0,"[16, 10762]",en,2016-07-22,,,,3,81
In aller Freundschaft - Die jungen Ärzte,7.118,17,[18],de,2015-01-22,45.0,,,11,421
Monster High,7.8,38,"[35, 16]",en,2010-05-05,3.0,,,6,178
Horrible Histories,8.0,59,"[10751, 35]",en,2009-04-16,92.0,,,11,154
Murderbot,7.4,135,"[35, 18, 10765]",en,2025-05-15,,,,1,10
Good Luck Charlie,7.92,418,"[35, 10751, 10762]",en,2010-04-04,23.0,,,4,99
Lombard. Życie pod zastaw,0.0,0,[18],pl,2017-09-04,43.0,,,10,479
Jimmy Kimmel Live!,5.5,171,"[10767, 35]",en,2003-01-26,45.0,,,23,2907
Mapping the World,8.6,9,[99],fr,1990-12-12,12.0,,,36,1164
Popeye the Sailor,7.1,373,"[16, 10762]",en,1960-06-10,5.0,,,2,230
"What's New, Scooby-Doo?",7.864,655,"[16, 10759, 9648]",en,2002-09-14,22.0,,,3,42
Ranma ½,8.6,1442,"[35, 10759, 16, 10765]",ja,1989-04-15,25.0,,,1,161
Victor and Valentino,6.0,16,"[16, 10759, 35, 9648]",en,2019-03-30,11.0,,,3,113
Olympo,7.1,25,"[18, 9648]",es,2025-06-20,,,,1,8
Downtown no Gaki no Tsukai ya Arahende!!,9.273,11,[35],ja,1989-10-03,30.0,,,37,1695
Horizon in the Middle of Nowhere,5.4,15,"[16, 35, 10765]",ja,2011-10-01,24.0,,,2,26
The Fall Guy,7.6,151,"[10759, 80]",en,1981-11-04,47.0,,,5,111
Mirada de mujer: El regreso,8.214,28,"[18, 10766]",es,2003-06-09,,,,1,245
Endless Summer,2.0,1,"[35, 18]",es,1998-01-26,60.0,,,3,679
Worst Cooks in America,6.3,27,"[10764, 35]",en,2010-01-03,42.0,,,28,212
The Rich Do Not Ask for Permission,5.2,2,"[18, 10766]",es,2016-01-11,60.0,,,1,225
Penn & Teller: Fool Us,7.147,92,"[35, 10767]",en,2011-01-07,43.0,,,11,162
Caça Talentos,9.0,2,[10766],pt,1996-09-16,50.0,,,4,493
A Million Little Things,7.4,129,[18],en,2018-09-26,42.0,,,5,87
The Danny Kaye Show,6.3,3,[35],en,1963-09-25,60.0,,,4,120
Rapunzel's Tangled Adventure,7.217,92,"[10762, 16, 35]",en,2017-03-24,21.0,,,3,59
Pangako Sa ’Yo,0.0,0,[18],tl,2000-11-13,45.0,,,1,481
Transformers: Super-God Masterforce,8.2,5,"[16, 10765]",ja,1988-04-12,24.0,,,1,42
MobLand,8.5,228,"[80, 18]",en,2025-03-30,,,,1,10
A Little Late with Lilly Singh,3.6,35,"[35, 10767]",en,2019-09-16,22.0,,,2,177
Ika-6 na Utos,6.5,8,[18],tl,2016-12-05,42.0,,,2,383
Desperate Housewives,7.917,1935,"[9648, 18, 35]",en,2004-10-03,,,,8,179
Judge Judy,5.809,89,[80],en,1996-09-16,22.0,,,25,1994
The Conners,7.069,116,[35],en,2018-10-16,,,,7,112
The Adventures of Shirley Holmes,7.3,6,"[18, 9648]",en,1997-05-07,24.0,,,4,52
Masterpiece Mystery,5.0,2,"[80, 18, 9648]",en,1980-02-05,60.0,,,45,941
YRK: 3rd Generation,2.0,1,[],en,2021-10-27,,,,1,660
Kay Tagal Kang Hinintay,0.0,0,[18],tl,2002-07-08,45.0,,,1,353
Sa Dulo Ng Walang Hanggan,0.0,0,"[18, 10751]",tl,2001-03-26,30.0,,,1,501
Yu-Gi-Oh! Duel Monsters,8.234,966,"[16, 10759]",ja,2000-04-18,24.0,,,1,224
Major,8.5,17,[16],ja,2004-11-13,25.0,,,6,154
Journeys in Japan,9.0,1,[99],en,2010-02-02,28.0,,,16,526
FROM,8.184,1984,"[9648, 18, 10765]",en,2022-02-20,,,,4,30
Детективы,5.5,2,"[9648, 80]",ru,2006-01-03,30.0,,,14,2086
Caméra Café,6.8,48,[35],fr,2001-10-29,7.0,,,7,723
The Office,8.581,4542,[35],en,2005-03-24,,,,9,186
Salvage Hunters,6.1,9,"[10764, 99]",en,2011-11-14,44.0,,,19,250
Świat według Kiepskich,6.5,23,[35],pl,1999-03-16,22.0,,,35,588
House of Cards,8.009,2890,[18],en,2013-02-01,,,,6,73
American Pickers,6.891,101,[10764],en,2010-01-18,45.0,,,22,405
Young Sheldon,8.041,2725,"[35, 10751, 18]",en,2017-09-25,,,,7,141
Yo Gabba Gabba!,7.5,22,"[10751, 16, 10762]",en,2007-08-20,,,,4,69
Essence of Emeril,6.3,6,[],en,1994-11-16,30.0,,,9,653
Casualty,6.1,82,"[18, 10766]",en,1986-09-06,50.0,,,44,1363
Have You Been Paying Attention?,8.3,7,"[35, 10767]",en,2013-11-03,60.0,,,13,307
Sons of Anarchy,8.428,3014,"[80, 18]",en,2008-09-03,45.0,,,7,92
Cara e Coragem,5.6,48,"[10766, 10759, 35]",pt,2022-05-30,36.0,,,1,197
Legend of the Galactic Heroes,8.744,82,"[10765, 16, 18, 10768]",ja,1988-12-01,25.0,,,4,110
Witches of East End,7.338,241,"[10765, 18]",en,2013-10-06,42.0,,,2,23
Virtues Of Harmony II,7.5,2,"[35, 10751, 18]",cn,2003-05-05,30.0,,,1,444
The Last Man on Earth,6.897,897,"[18, 35]",en,2015-03-01,22.0,,,4,67
River of Intrigues,7.25,4,"[10766, 18]",pt,2010-05-10,,,,1,250
NCIS: New Orleans,7.292,443,"[10759, 18, 35]",en,2014-09-23,45.0,,,7,155
"Men Are from Mars, Women Are from Venus",3.0,2,[10767],en,2000-09-18,60.0,,,2,176
郭德纲相声动画版,0.0,0,[16],zh,2013-01-01,,,,1,839
Niñas Mal,6.7,3,[18],es,2010-09-13,60.0,,,2,140
Terra X History,6.8,4,[99],de,2000-10-29,,,,26,928
Star Trek: The Next Generation,8.37,1584,"[10765, 10759, 18, 9648]",en,1987-09-28,45.0,,,7,176
Monk,7.9,1147,"[35, 80, 9648]",en,2002-07-12,,,,8,124
Tous en cuisine avec Cyril Lignac,6.7,3,[10764],fr,2020-03-21,50.0,,,9,204
Yeh Hai Chahatein,4.0,3,[18],hi,2019-12-19,29.0,,,3,1171
The Boys,8.456,11063,"[10765, 10759]",en,2019-07-25,,,,5,33
Captain Planet and the Planeteers,6.8,219,"[16, 10759, 10765, 10762]",en,1990-09-15,25.0,,,6,113
INVINCIBLE,8.6,5012,"[16, 10765, 10759, 18]",en,2021-03-25,,,,3,24
@midnight with Chris Hardwick,5.2,19,"[35, 10767]",en,2013-10-21,30.0,,,5,600
Chiquititas,8.423,39,"[10762, 10751, 10766]",pt,2013-07-15,,,,1,545
Yellowstone,8.249,2780,"[37, 18]",en,2018-06-20,,,,5,53
Making It Through,6.0,1,[18],ja,1990-10-11,,,,10,496
Brothers and Sisters,7.1,186,[18],en,2006-09-24,41.0,,,5,109
The Dead Zone,7.2,150,"[18, 10765]",en,2002-06-16,,,,6,80
The Adventures of Puss in Boots,7.108,74,"[16, 35, 10751, 10762]",en,2015-01-16,30.0,,,6,77
Sons and Daughters,6.857,7,[18],en,1982-01-18,25.0,,,6,972
Der Alte,6.0,17,"[80, 18]",de,1977-04-11,60.0,,,54,475
Parents' instructions,0.0,0,[35],fr,2013-11-04,5.0,,,8,359
American Horror Story,8.11,5777,"[18, 9648, 10765]",en,2011-10-05,,,,12,132
Dog Days,7.2,36,"[16, 10765, 10759]",ja,2011-04-02,25.0,,,3,38
Dog with a Blog,7.0,113,"[35, 10751, 18]",en,2012-10-12,21.0,,,3,70
alfredissimo! Kochen mit Bio,5.0,1,[10767],de,1994-12-27,50.0,,,14,458
The Great North,6.9,70,"[16, 35]",en,2021-01-03,23.0,,,5,93
The Bonnie Hunt Show,4.4,7,[10767],en,2008-09-08,42.0,,,2,190
Kasam - Tere Pyaar Ki,8.7,3,"[10766, 10751, 18]",hi,2016-03-07,22.0,,,1,623
The High Chaparral,6.5,23,"[37, 18]",en,1967-09-10,52.0,,,4,98
Rowan & Martin's Laugh-In,6.5,31,[35],en,1968-01-22,60.0,,,6,141
Kelders van Geheime,6.0,13,[10766],af,2024-05-06,,,,2,520
Teen Wolf,8.462,4445,"[10765, 18, 35]",en,2011-06-05,,,,6,100
Animaniacs,8.001,730,"[16, 10762, 35, 10751]",en,1993-09-13,,,,5,275
The Kapil Sharma Show,7.1,35,"[35, 10767]",hi,2016-04-23,60.0,,,3,474
The Apothecary Diaries,8.666,367,"[16, 18, 9648]",ja,2023-10-22,23.0,,,1,48
Hee Haw,7.6,5,[35],en,1969-06-15,60.0,,,23,586
Amazing Saturday,7.333,9,"[35, 10764]",ko,2018-04-07,75.0,,,1,340
The Venture Bros.,7.792,207,"[16, 35, 10759, 10765]",en,2004-08-07,22.0,,,7,81
DOTA: Dragon's Blood,7.8,430,"[10765, 10759, 16]",en,2021-03-25,25.0,,,3,24
Inazuma Eleven,8.0,276,"[16, 10765]",ja,2008-10-05,24.0,,,4,268
Neighbours,6.0,55,"[10766, 18, 10751, 35]",en,1985-03-18,30.0,,,41,9275
Deal or No Deal,5.8,9,[],en,2005-10-31,45.0,,,11,1320
Kid vs. Kat,7.9,302,"[10759, 16, 35, 10765, 10751, 10762]",en,2008-10-25,22.0,,,2,104
The Ellen DeGeneres Show,5.7,159,"[35, 10767]",en,2003-09-08,45.0,,,19,2078
Knights of the Zodiac,0.0,0,[],en,2003-08-30,30.0,,,4,127
Enchantment,5.55,10,[18],it,1998-06-08,25.0,,,10,570
The Secret Storm,3.7,3,[10766],en,1954-02-01,30.0,,,20,319
Babylon 5,8.035,544,"[18, 10765, 10759]",en,1994-01-26,45.0,,,5,110
All Elite Wrestling: Dynamite,8.0,73,"[10759, 18]",en,2019-10-02,86.0,,,7,326
Hunter x Hunter,8.66,1884,"[16, 10759, 10765]",ja,2011-10-02,24.0,,,3,148
The Unfettered Shogun,8.1,7,"[10751, 18, 10759]",ja,1978-01-07,45.0,,,12,834
Who Do You Think You Are?,6.729,24,"[99, 10751]",en,2004-10-12,60.0,,,22,185
This Hour Has 22 Minutes,6.608,51,"[10763, 35]",en,1993-10-11,22.0,,,32,491
"Magnum, P.I.",7.274,405,"[10759, 80, 18, 9648]",en,1980-12-11,45.0,,,8,162
Alice's Wonderland Bakery,6.1,8,"[16, 10762, 35]",en,2022-02-09,,,,2,98
Inkigayo,7.5,4,"[10764, 10751]",ko,1998-02-01,70.0,,,2,1547
The People's Court,6.8,18,"[10764, 80]",en,,44.0,,,26,1255
SOKO München,5.5,6,[80],de,1978-01-02,50.0,,,46,676
America's Test Kitchen,6.4,11,[99],en,2001-08-04,25.0,,,25,638
Family Affairs,2.6,5,"[18, 10766]",en,1997-03-30,30.0,,,9,2132
maybrit illner,8.0,1,[10767],de,1999-10-21,60.0,,,27,936
Chicago Med,8.291,1194,[18],en,2015-11-17,,,,10,198
"Murder, She Wrote",7.5,395,"[9648, 80, 18]",en,1984-09-30,45.0,,,12,264
Smallville,8.203,4195,"[10765, 10759, 18]",en,2001-10-16,43.0,,,10,216
Daniel Tiger's Neighborhood,7.0,26,"[16, 10751, 10762]",en,2012-09-03,28.0,,,7,287
Strictly Come Dancing,5.9,36,[],en,2004-05-15,,,,22,558
Alma de Hierro,7.5,35,[18],es,2008-02-25,25.0,,,1,393
Die Küchenschlacht,8.0,1,[10764],de,2008-01-14,45.0,,,16,3606
Sex and the City,7.39,2059,"[35, 18]",en,1998-06-06,,,,6,94
Friday Night with Jonathan Ross,5.8,25,"[35, 10767]",en,2001-11-02,60.0,,,18,276
Com si fos ahir,0.0,0,"[18, 10766]",ca,2017-09-11,35.0,,,8,1458
The Guardians of Carcosa,0.0,0,"[16, 10762, 10765, 18]",zh,2013-01-01,23.0,,,10,260
Hello Saturday,6.667,6,[10764],zh,2022-01-01,90.0,,,4,170
PopPixie,7.8,5,"[16, 35, 10751, 10762]",it,2011-01-10,13.0,,,1,52
New Japan Pro Wrestling,8.5,4,[18],ja,1972-03-06,,,,54,862
Fringe,8.134,2574,"[10765, 18, 9648]",en,2008-09-09,46.0,,,5,100
The Real Housewives of Beverly Hills,6.3,98,[10764],en,2010-10-14,,,,15,308
The Biggest Loser,5.5,27,[10764],en,2004-10-19,90.0,,,18,263
You Can't Do That on Television,7.524,21,[35],en,1979-02-03,30.0,,,11,145
