id,title,rating,votes,genre_ids,language,release_date,runtime,budget,revenue,popularity,overview,production_countries,production_companies,director,main_actors,source_category,type
232672,Blended,6.887,3626,"[35, 10749]",en,2014-05-21,117,40000000,128000000,8.8508,"Recently divorced mom Lauren and widowed dad Jim let their friends push them into a blind date, which goes disastrously wrong. Unsurprisingly, neither wants to see the other ever again. However, fate intervenes when both Jim and Lauren, unbeknownst to each other, purchase one-half of the same vacati",['United States of America'],"['GulfStream Pictures', 'Happy Madison Productions', 'RatPac Entertainment']",Frank Coraci,"['Adam Sandler', 'Drew Barrymore', 'Kevin Nealon', 'Terry Crews', 'Wendi McLendon-Covey']",genre_10749_2014,movie
137106,The Lego Movie,7.419,8037,"[16, 10751, 12, 35, 14]",en,2014-02-06,100,60000000,470759687,8.5466,"An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from conquering the universe.","['Australia', 'Denmark', 'United States of America']","['Village Roadshow Pictures', 'RatPac Entertainment', 'LEGO']",Phil Lord,"['Chris Pratt', 'Elizabeth Banks', 'Will Ferrell', 'Morgan Freeman', 'Will Arnett']",vote_count.desc_2014,movie
118340,Guardians of the Galaxy,7.905,28607,"[28, 878, 12]",en,2014-07-30,121,170000000,772776600,8.4424,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",['United States of America'],['Marvel Studios'],James Gunn,"['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper']",vote_count.desc_2014,movie
124905,Godzilla,6.347,9335,"[28, 18, 878]",en,2014-05-14,123,160000000,524978362,8.3799,"Ford Brody, a Navy bomb expert, has just reunited with his family in San Francisco when he is forced to go to Japan to help his estranged father, Joe. Soon, both men are swept up in an escalating crisis when an ancient alpha predator arises from the sea to combat malevolent adversaries that threaten",['United States of America'],['Legendary Pictures'],Gareth Edwards,"['Aaron Taylor-Johnson', 'Elizabeth Olsen', 'Juliette Binoche', 'Bryan Cranston', 'Ken Watanabe']",vote_count.desc_2014,movie
100402,Captain America: The Winter Soldier,7.7,19203,"[28, 12, 878]",en,2014-03-20,136,170000000,714766572,8.1167,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the w",['United States of America'],['Marvel Studios'],Joe Russo,"['Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson', 'Robert Redford', 'Sebastian Stan']",vote_count.desc_2014,movie
243684,"Men, Women & Children",6.445,899,"[18, 35]",en,2014-10-17,116,16000000,1700000,7.8293,"Follows the story of a group of high school teenagers and their parents as they attempt to navigate the many ways the internet has changed their relationships, their communication, their self-image, and their love lives.",['United States of America'],"['Right of Way Films', 'Paramount Pictures']",Jason Reitman,"['Adam Sandler', 'Jennifer Garner', 'Rosemarie DeWitt', 'Judy Greer', 'Dean Norris']",popularity.desc_2014,movie
196867,Annie,6.234,1302,"[35, 18, 10751]",en,2014-12-18,118,65000000,136853506,7.8047,"Annie is a young, happy foster kid who's also tough enough to make her way on the streets of New York in 2014. Originally left by her parents as a baby with the promise that they'd be back for her someday, it's been a hard knock life ever since with her mean foster mom Miss Hannigan. But everything'",['United States of America'],"['Marcy Media', 'Columbia Pictures', 'Olive Bridge Entertainment']",Will Gluck,"['Quvenzhané Wallis', 'Jamie Foxx', 'Rose Byrne', 'Cameron Diaz', 'Bobby Cannavale']",popularity.desc_2014,movie
317442,The Last: Naruto the Movie,7.451,2323,"[28, 10749, 16]",ja,2014-12-06,114,750000,19840000,7.4931,"Two years after the events of the Fourth Great Ninja War, the moon that Hagoromo Otsutsuki created long ago to seal away the Gedo Statue begins to descend towards the world, threatening to become a meteor that would destroy everything on impact. Amidst this crisis, a direct descendant of Kaguya Otsu",['Japan'],"['Aniplex', 'Pierrot', 'Bandai Visual']",Tsuneo Kobayashi,"['Junko Takeuchi', 'Nana Mizuki', 'Jun Fukuyama', 'Chie Nakamura', 'Showtaro Morikubo']",genre_10749_2014,movie
187017,22 Jump Street,6.83,8112,"[80, 35, 28]",en,2014-06-05,112,50000000,331333876,7.3367,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their ",['United States of America'],"['Columbia Pictures', 'Original Film', 'MRC']",Phil Lord,"['Jonah Hill', 'Channing Tatum', 'Peter Stormare', 'Wyatt Russell', 'Amber Stevens West']",genre_80_2014,movie
169917,A Walk Among the Tombstones,6.331,2858,"[80, 18, 9648, 53]",en,2014-09-18,114,28000000,58834384,7.2765,Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.,['United States of America'],"['Traveling Picture Show Company', 'Jersey Films', 'Free State Pictures']",Scott Frank,"['Liam Neeson', 'Dan Stevens', 'David Harbour', 'Boyd Holbrook', 'Ólafur Darri Ólafsson']",popularity.desc_2014,movie
116149,Paddington,7.1,3914,"[35, 12, 10751]",en,2014-11-24,95,55000000,326088587,7.246,"A young Peruvian bear travels to London in search of a home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family, who offer him a temporary haven.","['France', 'United Kingdom', 'United States of America']","['StudioCanal', 'Anton Capital Entertainment', 'Heyday Films']",Paul King,"['Ben Whishaw', 'Hugh Bonneville', 'Sally Hawkins', 'Madeleine Harris', 'Samuel Joslin']",revenue.desc_2014,movie
300325,Under Wraps,9.7,19,"[10751, 16, 35, 9648]",en,2014-10-31,48,0,0,0.4203,"Danny and older sister Eleanor fall into the adventure of a lifetime when Danny accidentally unleashes a centuries old curse involving mummies, pharaohs and nefarious villains!  When their archaeologist parents go on an expedition to an ancient pharaoh's last resting place, Danny sneaks into the tom",['United States of America'],[],Gordon Crum,"['Brenda Crichlow', 'Brian Drummond', 'Colin Murdock', 'Nick Wolfhard', 'Kazumi Evans']",vote_average.desc_2014,movie
300223,Change,9.5,10,"[12, 99]",en,2014-10-26,125,0,0,0.1754,"Adam Ondra has been considered the best climber in the history of climbing for several years now. Even though he is only 19. Despite the fact that he is studying at a demanding grammar school, he is maybe the most traveling and definitely the most watched climber of today.  It is almost an impossibl","['Norway', 'Sweden']",['Bernartwood'],Petr Pavlíček,"['Adam Ondra', 'Bára Vávrová']",vote_average.desc_2014,movie
420750,Ever After High: Thronecoming,9.0,11,"[16, 10751, 14, 18]",en,2014-11-02,46,0,0,0.5137,"Everyone is ready for the Thronecoming at Ever After High, but the disappearance of the legendary storybook causes chaos all around.",['Canada'],"['Guru Studio', 'Mattel']",Harold Harris,"['Erin Fitzgerald', 'Jonquil Goode', 'Laura Bailey', 'Kate Higgins', 'Cindy Robinson']",vote_average.desc_2014,movie
864700,Godzilla Battle Royale,8.909,11,[28],en,2014-11-06,93,0,0,0.0687,"Godzilla Battle Royale is a low-budget Godzilla fan film, directed and written by Billy DuBose. It was theatrically screened in the Pickwick Theater.",[],[],Billy Dubose,"['Billy Dubose', 'Robert Scott Field', 'Akira Takarada']",vote_average.desc_2014,movie
312854,Tony Bennett & Lady Gaga: Cheek To Cheek (Live From PBS),8.6,13,[10402],en,2014-10-24,74,0,0,0.8319,"Tony Bennett and Lady Gaga: Cheek to Cheek Live! is an American concert television special featuring live performances by Tony Bennett and Lady Gaga in support of their collaborative studio album, Cheek to Cheek, released in September 2014. It was held at the Rose Theater of Lincoln Center for the P",['United States of America'],['Universal Pictures'],David Horn,"['Tony Bennett', 'Lady Gaga']",vote_average.desc_2014,movie
272073,The Duchess of Malfi,8.5,11,"[18, 36]",en,2014-05-25,150,0,0,0.2679,"The widowed Duchess of Malfi longs to marry her lover, the steward Antonio. But her rancorous brothers, Ferdinand and the Cardinal, are implacably opposed to the match. When their spy, Bosola, discovers that the Duchess has secretly married and carries Antonio’s child, they exact a terrible and horr",[],"[""Shakespeare's Globe""]",Dominic Dromgoole,"['Gemma Arterton', 'Giles Cooper', 'David Dawson', 'John Dougall', 'James Garnon']",vote_average.desc_2014,movie
367531,NEW,8.4,10,"[18, 878]",en,2014-12-04,14,0,0,0.2178,"A man dies of cancer—and then wakes up, decades in the future, because his body was cryogenically preserved. Now he’s not only cured of cancer, but also rejuvenated. And his wife is also alive again, restored to health and youth by miraculous future technology. It’s a post-scarcity future, in which ",['United States of America'],[],John Harden,"['Jared Abrahamson', 'Jessica Barry', 'Joslyn Jensen', 'Jennifer Lafleur', 'Henry lee']",vote_average.desc_2014,movie
444941,Bride in Sneakers,8.4,12,"[10749, 35]",ko,2014-12-07,69,0,0,0.1556,"What are the chances that you will meet a bride in a wedding gown with sneakers on the subway? Just when Hee-soon was running out of sources to write about and found himself in front of a brick wall, a woman arouses his curiosity!  Web-toon artist Hee-soon followed her. Bo-kyeong calls herself the '",['South Korea'],[],,"['Kim Jin-woo', 'Lee Chung-ah', 'Lee Yi-kyung', 'Park Young-seo']",vote_average.desc_2014,movie
283559,One Direction: Where We Are - The Concert Film,8.4,167,"[10402, 99]",en,2014-10-08,106,0,15,0.6114,"Where We Are: Live from San Siro Stadium features the entire 23 track concert filmed at San Siro Stadium in Milan in June 2014, as well as 24 minutes of bonus content including backstage footage of One Direction and their crew.",['United Kingdom'],"['Fulwell 73 Productions', 'Arts Alliance', 'Syco Entertainment']",Paul Dugdale,"['Harry Styles', 'Zayn Malik', 'Liam Payne', 'Niall Horan', 'Louis Tomlinson']",vote_average.desc_2014,movie
396830,The IT Crowd Manual,8.4,17,"[35, 99]",en,2014-01-04,49,0,0,0.4578,"This behind-the-scenes documentary features interviews with the creators and cast of the cult comedy ""The IT Crowd"", plus chats with celebrity fans.",['United Kingdom'],['Talkback Thames'],Joanna Hanley,"['Graham Linehan', ""Chris O'Dowd"", 'Noel Fielding', 'Katherine Parkinson', 'Richard Ayoade']",vote_average.desc_2014,movie
297102,Scooby-Doo! Ghastly Goals,8.353,85,"[10751, 9648, 16, 35]",en,2014-05-13,22,0,0,1.2476,"While on vacation in Brazil, Scooby-Doo and the gang encounter a mythical beast at a game of soccer.",['United States of America'],['Warner Bros. Animation'],Victor Cook,"['Frank Welker', 'Mindy Cohn', 'Grey DeLisle', 'Matthew Lillard', 'Gabriel Iglesias']",vote_average.desc_2014,movie
276938,Punjab 1984,8.3,13,"[18, 10751, 36]",pa,2014-06-27,159,840700,3710000,0.529,"This is the story of a mother and her missing son set in the backdrop of 1984 Punjab, when the state was going through a terrible time of terrorism. The film depicts the longing of a mother for her son and her search for her son, who is labelled a terrorist because of the bad times in Punjab.",['India'],[],Anurag Singh,"['Diljit Dosanjh', 'Sonam Bajwa', 'Kirron Kher', 'Arun Bali', 'Pavan Malhotra']",vote_average.desc_2014,movie
280467,Miley Cyrus: Bangerz Tour,8.2,36,"[10402, 99]",en,2014-07-06,85,0,0,0.2086,Miley Cyrus took the world by storm as she brought her Bangerz Tour to fans across the world. The highly anticipated concert film features show stopping performances along with behind-the-scenes look into the tour and her personal life.,['United States of America'],"['RCA', 'NBC', 'HopeTown Entertainment']",Russell Thomas,"['Miley Cyrus', 'Noah Cyrus', 'Braison Cyrus', 'Amazon Ashley']",vote_average.desc_2014,movie
